Year,Year Code,Country Name,Country Code,"Population ages 15-19, female (% of female population) [SP.POP.1519.FE.5Y]","Population ages 20-24, female (% of female population) [SP.POP.2024.FE.5Y]","Population ages 25-29, female (% of female population) [SP.POP.2529.FE.5Y]","Population ages 30-34, female (% of female population) [SP.POP.3034.FE.5Y]","Population ages 35-39, female (% of female population) [SP.POP.3539.FE.5Y]","Population ages 40-44, female (% of female population) [SP.POP.4044.FE.5Y]","Population ages 45-49, female (% of female population) [SP.POP.4549.FE.5Y]",Fertility_Population
2015,YR2015,Seychelles,SYC,6.014465169,6.583343907,7.118385992,8.116567271,8.192699742,7.960072749,7.754938037,51.74047287
2015,YR2015,Sierra Leone,SLE,10.92114561,9.211100439,7.8451981,6.758275773,5.590241882,4.556199372,3.55211206,48.43427323
2015,YR2015,Singapore,SGP,6.145943399,6.625674672,6.338457035,7.245230888,7.971378188,8.327776509,8.012822343,50.66728303
2015,YR2015,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,0
2015,YR2015,Slovak Republic,SVK,5.054026753,6.366564937,7.222644306,7.673630337,8.027215118,7.164017553,6.331510503,47.83960951
2015,YR2015,Slovenia,SVN,4.394915912,5.027748604,6.102014619,6.804673167,7.205645755,6.751490734,7.161645901,43.44813469
2015,YR2015,Small states,SST,9.124808135,8.98122181,8.596911124,7.88454326,6.587536876,5.593664281,4.887279783,51.65596527
2015,YR2015,Solomon Islands,SLB,10.47526069,8.803816487,7.557157299,7.129602703,6.654618974,5.545746611,4.003780483,50.16998324
2015,YR2015,Somalia,SOM,10.98720119,8.882340433,7.251768284,5.773966899,4.676358674,3.946205548,3.264941359,44.78278238
2015,YR2015,South Africa,ZAF,9.064850576,9.078659163,8.994823343,8.14034684,6.821726273,5.996728935,5.285181613,53.38231674
2015,YR2015,South Asia,SAS,9.465636149,9.037211785,8.631549722,7.910226208,6.916093959,6.05003383,5.331357419,53.34210907
2015,YR2015,South Asia (IDA & IBRD),TSA,9.465636149,9.037211785,8.631549722,7.910226208,6.916093959,6.05003383,5.331357419,53.34210907
2015,YR2015,South Sudan,SSD,10.90147804,9.351324616,7.809161677,6.269291366,5.258411162,4.378851319,3.654094414,47.62261259
2015,YR2015,Spain,ESP,4.317289952,4.661449421,5.20072132,6.455680544,8.123882512,8.249424987,7.777183839,44.78563257
